# prefix/ip,country_code,region_code,city,postal
8.17.107.0/24,US,,Miami,
8.17.109.0/24,US,,Miami,
70.41.52.0/25,NL,,Amsterdam,
70.41.71.0/26,US,,Carlsbad,
70.41.71.64/27,MX,,Miguel Hidalgo - Ciudad de Mexico,
70.41.71.96/27,ES,,Madrid,
70.41.71.128/27,DE,,Frankfurt am Main,
70.41.71.160/27,GB,,Farnborough,
70.41.71.192/27,BR,,Brasilia,
70.41.247.0/26,US,,Carlsbad,
70.41.247.64/27,MX,,Miguel Hidalgo - Ciudad de Mexico,
70.41.247.96/27,ES,,Madrid,
70.41.247.128/27,DE,,Frankfurt am Main,
70.41.247.160/27,GB,,Farnborough,
70.41.247.192/27,BR,,Brasilia,
75.104.78.0/24,SE,,Stockholm,
75.104.163.0/26,US,,Carlsbad,
75.104.163.64/27,MX,,Miguel Hidalgo - Ciudad de Mexico,
75.104.163.96/27,ES,,Madrid,
75.104.163.128/27,DE,,Frankfurt am Main,
75.104.163.160/27,GB,,Farnborough,
75.104.163.192/27,BR,,Brasilia,
99.198.64.0/24,MX,,Miguel Hidalgo - Ciudad de Mexico,
99.198.65.0/24,MX,,Miguel Hidalgo - Ciudad de Mexico,
99.198.66.0/23,MX,,Miguel Hidalgo - Ciudad de Mexico,
99.198.68.0/22,MX,,Miguel Hidalgo - Ciudad de Mexico,
99.198.72.0/21,BR,,Brasilia,
99.198.80.0/22,BR,,Brasilia,
99.198.84.0/22,BR,,Brasilia,
99.198.95.0/24,BR,,Brasilia,
